id,Bairro,Zona,Categoria_Risco,Altura_Maxima___Edificacao_Isolada,Coeficiente_de_Aproveitamento___Basico,Coeficiente_de_Aproveitamento___Maximo,Área_Minima_do_Lote,Testada_Minima_do_Lote,Modulo_de_Fracionamento,Face_Maxima_do_Quarteirao,Área_Maxima_do_Quarteirao,Área_Minima_do_Quarteirao,Enquadramento_Fracionamento,Área_de_Destinacao_Publica___Malha_Viaria_Fracionamento,Área_de_Destinacao_Publica___Equipamentos_Fracionamento,Enquadramento_Desmembramento_Tipo_1,Área_Publica___Malha_Viaria_Desmembramento_Tipo_1,Área_Publica___Equipamentos_Desmembramento_Tipo_1,Enquadramento_Desmembramento_Tipo_2,Área_Publica___Malha_Viaria_Desmembramento_Tipo_2,Área_Publica___Equipamentos_Desmembramento_Tipo_2,Enquadramento_Desmembramento_Tipo_3,Área_Publica___Malha_Viaria_Desmembramento_Tipo_3,Área_Publica___Equipamentos_Desmembramento_Tipo_3,Enquadramento_Loteamento,Área_Publica___Malha_Viaria_Loteamento,Área_Publica___Equipamentos_Loteamento,Coeficiente_de_Aproveitamento_Basico_+4D,Coeficiente_de_Aproveitamento_Maximo_+4D,Afastamentos___Frente,Afastamentos___Laterais,Afastamentos___Fundos,"Taxa_de_Permeabilidade_acima_de_1,500_m2","Taxa_de_Permeabilidade_ate_1,500_m2",Fator_de_Conversao_da_Taxa_de_Permeabilidade,Recuo_de_Jardim,Comercio_Varejista_Inocuo___Restricao_/_Porte,Comercio_Varejista_IA1___Restricao_/_Porte,Comercio_Varejista_IA2___Restricao_/_Porte,Comercio_Atacadista_IA1___Restricao_/_Porte,Comercio_Atacadista_IA2___Restricao_/_Porte,Comercio_Atacadista_IA3___Restricao_/_Porte,Servico_Inocuo___Restricao_/_Porte,Servico_IA1___Restricao_/_Porte,Servico_IA2___Restricao_/_Porte,Servico_IA3___Restricao_/_Porte,Industria_Inocua___Restricao_/_Porte,Industria_com_Interferência_Ambiental___Restricao_/_Porte,Nivel_de_Controle_de_Polarizacao_de_Entretenimento_Noturno,Unnamed:_49,Unnamed:_50
233,MEDIANEIRA,ZOT 12,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
234,MEDIANEIRA,ZOT 10,Ocupação Acima da Cota de Inundação,33,"2,50","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
235,MEDIANEIRA,ZOT 08.3 - B,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
236,MEDIANEIRA,ZOT 05,Ocupação Acima da Cota de Inundação,33,"2,50","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
237,CAMPO NOVO,ZOT 03,Ocupação Acima da Cota de Inundação,13,"2,00","3,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
238,CAMPO NOVO,ZOT 15,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
239,CAMPO NOVO,ZOT 04,Ocupação Acima da Cota de Inundação,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
240,CAMPO NOVO,ZOT 01,Ocupação Acima da Cota de Inundação,9,"1,50","2,50",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,30.0,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 2,,
241,CAMPO NOVO,ZOT 14,Ocupação Acima da Cota de Inundação,9,"0,50","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,60,40,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
242,ABERTA DOS MORROS,ZOT 04,Ocupação Acima da Cota de Inundação,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
243,ABERTA DOS MORROS,ZOT 15,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
244,ABERTA DOS MORROS,ZOT 02,Ocupação Acima da Cota de Inundação,9,"2,00","3,00",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,50.0,4,S/L,1500,1500,500,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 3,,
245,ABERTA DOS MORROS,ZOT 01,Ocupação Acima da Cota de Inundação,9,"1,50","2,50",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,30.0,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 2,,
246,ABERTA DOS MORROS,ZOT 14,Ocupação Acima da Cota de Inundação,9,"0,50","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,60,40,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
247,BOA VISTA,ZOT 08.3 - C,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
248,BOA VISTA,ZOT 04,Ocupação Acima da Cota de Inundação,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
249,BOA VISTA,ZOT 07,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
250,BOA VISTA,ESPECIAL,Ocupação Acima da Cota de Inundação,0,"0,00","0,00",0.0,0,0.0,0,0,Conforme Projeto,0,Conforme Projeto,Conforme Projeto,Conforme Projeto,0,Conforme Projeto,Conforme Projeto,0,Conforme Projeto,Conforme Projeto,0,Conforme Projeto,Conforme Projeto,0,0,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,0,0,0.0,0,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,Conforme Projeto,0,,Conforme Projeto,,
251,VILA NOVA,ZOT 03,Ocupação Acima da Cota de Inundação,13,"2,00","3,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
252,VILA NOVA,ZOT 10,Ocupação Acima da Cota de Inundação,33,"2,50","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
253,VILA NOVA,ZOT 01,Ocupação Acima da Cota de Inundação,9,"1,50","2,50",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,30.0,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 2,,
254,VILA NOVA,ZOT 14,Ocupação Acima da Cota de Inundação,9,"0,50","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,60,40,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
255,VILA NOVA,ZOT 15,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
256,VILA NOVA,ZOT 09,Ocupação Acima da Cota de Inundação,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
257,PASSO DA AREIA,ZOT 02,Protegido pelo Sistema Atual,9,"2,00","3,00",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,50.0,4,S/L,1500,1500,500,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 3,,
258,PASSO DA AREIA,ZOT 07,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
259,PASSO DA AREIA,ZOT 12,Protegido pelo Sistema Atual,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
260,PASSO DA AREIA,ZOT 11,Protegido pelo Sistema Atual,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
261,VILA SÃO JOSÉ,ZOT 02,Ocupação Acima da Cota de Inundação,9,"2,00","3,00",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,50.0,4,S/L,1500,1500,500,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 3,,
262,VILA SÃO JOSÉ,ZOT 03,Ocupação Acima da Cota de Inundação,13,"2,00","3,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
263,VILA SÃO JOSÉ,ZOT 01,Ocupação Acima da Cota de Inundação,9,"1,50","2,50",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,30.0,4,S/L,1000,500,Proibido,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 2,,
264,VILA SÃO JOSÉ,ZOT 15,Ocupação Acima da Cota de Inundação,9,"0,30","0,00",20.0,50,0.0,0,0,200000,0,Não se aplica,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,Não se aplica,Não se aplica,0,0,Não se aplica,Não se aplica,Isento,18% da altura total desde o RN,18% da altura total desde o RN,70,50,20.0,0,300,300,300,Proibido,Proibido,Proibido,300,S/L / 300,Proibido,Proibido,300,,Nível 1,,
265,VILA SÃO JOSÉ,ZOT 06,Ocupação Acima da Cota de Inundação,42,"2,50","5,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
266,VILA SÃO JOSÉ,ZOT 08.3 - B,Ocupação Acima da Cota de Inundação,90,"3,60","7,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
267,IPANEMA,ZOT 10,Área de Estudo,33,"2,50","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
268,IPANEMA,ZOT 03,Área de Estudo,13,"2,00","3,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
269,IPANEMA,ZOT 04,Área de Estudo,18,"2,00","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",30,20,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1000.0,Nível 3,,
270,IPANEMA,ZOT 02,Área de Estudo,9,"2,00","3,00",150.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,Isento,Isento,40,30,50.0,4,S/L,1500,1500,500,Proibido,Proibido,S/L,1500,Proibido,Proibido,300,,Nível 3,,
271,PASSO DAS PEDRAS,ZOT 07,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 4,,
272,PASSO DAS PEDRAS,ZOT 13,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
273,PASSO DAS PEDRAS,ZOT 05,Ocupação Acima da Cota de Inundação,33,"2,50","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,1500,Proibido,S/L,S/L,S/L,Proibido,300,1500.0,Nível 3,,
274,PASSO DAS PEDRAS,ZOT 12,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
275,JARDIM LEOPOLDINA,ZOT 12,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,5.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 4,,
276,JARDIM LEOPOLDINA,ZOT 10,Ocupação Acima da Cota de Inundação,33,"2,50","4,00",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,1500,S/L,S/L,S/L,S/L,300,1500.0,Nível 3,,
277,JARDIM LEOPOLDINA,ZOT 13,Ocupação Acima da Cota de Inundação,60,"3,60","6,50",125.0,5,3.0,200,22500,Não se aplica,3000,Não se aplica,Não se aplica,acima de 3000 a 4000 m²,10,Compartilhado,acima de 4000 a 5000 m²,15,Compartilhado,acima de 5000 a 22500 m²,18,Compartilhado,acima de 22500 m²,32,18,Não se aplica,Não se aplica,Isento,"18% da altura total desde o RN, aplicável acima de 12,5 m,","18% da altura total desde o RN, aplicável acima de 12,5 m,",20,10,50.0,4,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,S/L,300,,Nível 4,,
